Word,Valence,Arousal,Dominance,Frequency
mite,3.9,4.68,5.19,60
mitigate,5.38,3.9,5.86,21
mitigating,4.47,3.85,4.7,31
mitt,5.48,2.75,5,70
mitten,5.6,2.33,5.91,23
mix,5.71,2.86,5.56,834
mixer,4.9,4.17,5.18,55
mixture,5.9,3.52,6,126
moan,4.05,5.52,6.04,96
moat,5.19,4.17,4.95,60
mob,3.7,4.86,3.47,660
mobile,5.81,3.76,5.9,381
mobility,5.53,4.7,7.11,35
mobilize,5.95,4.56,6.18,52
mobster,3.05,5.14,4.04,43
mocha,6.53,3.36,5.61,66
mock,3.81,4.95,5.17,274
mockery,2.95,4.48,4.11,94
mockingbird,6.37,4.62,5.48,60
mode,5.25,3.43,6.1,263
model,6.38,3.9,6.53,1635
modeling,5.67,3.92,4.65,185
modem,5.29,3.55,4.5,55
moderate,5.52,4,5.53,63
moderation,5.3,3.67,5.44,37
modern,6.05,5.4,5.31,930
modest,6.42,2.93,7.05,300
modesty,6.19,4.41,5.81,90
modification,5.05,4.1,6.62,43
modify,5.1,3.78,6.43,50
module,4.9,4.33,5.41,136
mogul,5.42,3.48,5.11,47
moist,5.53,4.2,4.5,92
moisture,5.5,4.39,4.14,62
moisturizer,6.35,2.95,5.86,24
molar,4.73,3.54,5.12,26
molasses,5.9,3.09,5.71,52
mold,2.71,3.77,4.5,219
moldy,1.95,4.35,4.29,30
mole,4.23,3.81,5.32,411
molecular,5.5,3.52,5.14,134
molecule,5.37,3.7,4.75,40
molest,1.89,6.43,2.57,31
molester,1.48,5,3.22,43
molten,4.75,4.26,4.08,59
mom,7.64,4.62,6.29,21950
moment,6.1,4.05,6,9539
momentary,4.95,3.73,4.8,56
momentous,6.35,4.9,5.95,36
momentum,6.1,4.14,5.16,87
momma,7.45,3.45,5.11,412
mommy,7.39,3.7,4.89,3617
monarch,4.33,3.41,3.78,42
monarchy,3.29,3.7,4.04,34
monastery,4.75,2.5,4.59,189
monetary,6.32,4.46,5.62,52
money,7.1,6.86,6.32,32679
mongoose,4.95,3.55,4.23,33
mongrel,3.47,4.5,3.46,44
monitor,5.05,3.86,5.81,669
monk,4.9,2.61,5.04,376
monkey,5.82,5.15,5.74,1709
mono,3.85,3,4.88,37
monogamous,7.05,4.4,7,42
monogamy,6.43,3.48,5.57,46
monogrammed,4.79,2.82,4.78,30
monologue,5.43,3.05,4.67,58
monopoly,5.29,4.83,6.14,141
monotonous,3.05,2.68,4.55,43
monoxide,3,4.55,4.85,58
monsieur,5.5,3.3,5.89,1585
monsoon,2.85,4.5,3.09,40
monster,2.55,5.55,5,1982
monstrosity,3.84,5.83,4.21,38
monstrous,3.43,5.9,3.86,122
montage,5.48,4.85,5.76,57
month,5.78,3.64,5.05,4854
monthly,5.32,3.5,4.67,152
monument,6.24,2.82,5.45,117
monumental,5.74,5.24,6.06,54
moo,5.48,3.95,5.18,106
mooch,3.71,5.8,5.2,45
mood,5.29,4.5,5.79,1736
moody,3.71,5,4.26,115
moon,7,3.43,6.11,2548
moonbeam,7.17,4.52,4.82,38
moonlight,7.05,3.61,6.28,354
moonlit,7.24,3.96,6.05,28
moonshine,5.5,4.67,4.95,49
moonwalk,6.18,5.15,6.08,32
moose,6.71,4.85,4.97,282
moot,4.62,3.71,5.52,60
mop,4.53,3.14,5.32,211
mope,3.27,3.26,4.76,34
moped,5,3.62,5.38,23
moral,6.85,3.73,6.31,689
morale,5.95,4.1,6.23,210
morality,6.48,4.76,6.5,189
morbid,2.73,5.29,4.49,132
morgue,1.79,3.48,3.32,440
morning,6.41,3.95,6.35,22389
moron,4.3,4.5,4.55,754
moronic,3.25,3.81,3.2,55
morph,5.5,5.19,4.65,38
morphine,4.58,5.14,4.57,331
morsel,5.3,3.41,5.52,32
mortal,4.39,3.55,3.88,488
mortality,5.15,6.9,3.58,77
mortar,4.14,4.37,4.94,117
mortgage,3.45,4.43,3.74,301
mortician,3.56,3.33,3.59,31
mortuary,2.21,3.59,3.91,94
mosaic,6.33,3.7,5.19,23
mosque,4.11,3,4.04,60
mosquito,3.12,5.17,3.88,93
motel,5.3,3.55,4.52,927
moth,4.47,2.55,4.6,116
mother,7.53,4.73,6.11,24476
motherfucker,1.61,7.33,2.56,2616
motherfucking,3.95,5.92,4.16,476
motherhood,6.8,5.52,6,58
motherland,5.8,4.22,5.76,24
motherless,1.9,4.52,4.23,29
motherly,7.67,3.74,5.08,23
motif,5.27,4.24,6.42,33
motion,5.8,4.71,6.15,967
motivate,6.05,5.09,7.22,54
motivation,6.24,4.73,6.35,151
motivational,6.76,6.37,7.14,33
motive,5.32,4.86,6.2,675
motley,4.89,2.95,4.52,26
motor,5.64,5.42,5.5,671
motorbike,5.95,5.68,5.58,38
motorboat,6.2,4.22,5.18,29
motorcade,4.64,4.67,4.81,65
motorcar,5.7,3.95,6.03,29
motorcycle,5.8,5.8,5.55,455
motorist,5.47,4.24,5.83,25
motto,5.95,3.86,6.3,260
mound,5.43,3.63,5.5,77
mount,5.38,4.09,5.63,597
mountain,6.65,4.12,6.18,1805
mountaintop,6.5,4.28,5.46,26
mourn,2.4,4.95,4.08,129
mournful,3.32,2.78,3.59,25
mourning,1.71,3.9,3.64,175
mouse,4.8,3.38,4.29,975
mousetrap,4.82,4.05,5.5,30
mousse,6,3.19,6.04,59
moustache,5.35,3.23,5.32,193
mousy,3.74,3.1,3.2,42
mouth,5.59,4.14,6,5325
mouthful,4.88,3.8,4.64,86
mouthpiece,4.65,3.62,4.62,47
mouthwash,5.7,2.67,5.38,49
move,4.95,4.24,5.12,21325
movement,6.58,4,5.96,757
mover,4.55,3.82,5.42,23
movie,7.24,4.39,5.68,6271
mow,4.94,4.17,5.58,117
mower,4.76,2.79,5.45,75
mozzarella,7.19,4.54,6.29,28
muck,3.14,3.55,4.09,97
mucous,2.95,3.83,4.41,20
mucus,2.84,4.17,4.16,30
mud,5.06,3.19,4.27,756
muddle,4.47,3.05,4.8,22
muddy,4.14,4.2,4.6,153
muff,5.63,3.59,4.43,49
muffin,7.1,4.05,6.29,297
muffled,4.74,3.86,4.18,157
muffler,3.63,4.27,4.64,51
mug,4.16,3.83,4.82,349
mugger,1.9,5.67,2.97,49
mulberry,5.74,2.75,5.43,31
mulch,5.33,3.52,5.24,22
mule,4.26,2.78,4.5,358
mull,4.38,3.12,5.11,24
mullet,3.86,3.81,5.64,29
multimedia,6.53,4.8,5.9,28
multinational,5.3,3.94,5.33,32
multiple,5,4,5.64,540
multiple sclerosis,2.45,5.11,2.33,0
multiplex,5.09,4.95,5.45,20
multiply,5.43,4.39,5.48,99
multitude,5,4.09,5.16,29
mum,5.43,3.35,4.54,1108
mumble,4.4,3.19,3.68,40
mummy,4.81,3.75,4.4,500
mumps,2.61,3.84,3.44,60
munch,6.32,3.62,6.14,43
munchkin,6.95,4.27,4.13,41
mundane,3.63,2.76,4,41
municipal,4.89,3.05,4.92,90
mural,6.67,3.4,5.95,52
murder,1.48,6.24,3.38,5717
murderer,1.92,6.83,2.83,1355
murderess,2.56,5.8,3.52,37
murderous,2.05,7.05,2.95,93
murky,3.4,3.45,3.77,31
murmur,4.57,4.08,4.36,48
muscle,6.15,4.55,6.81,694
muscular,6.32,4.98,6.52,79
muse,6.3,4.75,6.12,98
museum,6.67,3.74,5.4,942
mush,4.05,3.21,4.79,143
mushroom,5.61,3.14,5.5,109
mushy,4.6,3.71,5.47,77
music,7.67,5.57,6.5,7734
musical,7.68,5.63,5.43,671
musician,6.79,5.52,5.7,308
musk,4.5,2.45,4.56,27
musket,4.13,4,4.64,50
musketeer,4.76,4.71,4.96,22
muskrat,4.15,3.5,4.32,28
must,5.45,4.1,5.06,35661
mustang,6.32,6.14,6,175
mustard,4.74,3.39,5.69,329
muster,4.67,3.65,5.41,76
musty,3.37,3.5,4.22,25
mutant,5.06,4.61,4.53,183
mutate,4.16,5.88,4.04,24
mutation,4.14,4.56,4.16,88
mute,3.95,2.45,4.18,127
muted,3.63,2.15,4.9,20
mutilate,2,4.96,2.91,29
mutilated,2.73,6,3.32,65
mutilation,2.27,5.38,2.73,48
mutiny,4.2,5.18,4.56,126
mutt,4.84,4.14,4.5,202
mutter,4.4,3.67,5.57,22
mutual,6.48,3.5,6.45,368
muzzle,3.95,4.65,3.54,81
myriad,5.52,3.52,5.41,28
mysterious,6.05,5.45,4.76,765
mystery,5.29,5.04,4.33,1171
mystic,6.12,4.52,4.7,74
mystical,6.57,5.04,5.79,144
mysticism,6,4.29,4.58,22
mystified,6.05,5.8,4.67,26
mystique,6.52,5.67,5.32,179
myth,6.11,4,5.38,352
mythical,6.11,5.1,4.91,45
mythology,6.1,4.27,4.81,101
nab,3.65,4.27,4.84,34
nacho,7.05,4.38,5.82,67
nag,2.3,4.72,3.96,111
nail,4.6,3.05,5.17,951
naive,4.22,3.86,5,329
naked,6.21,5.58,5.6,2002
nakedness,6.67,6.62,5.21,23
name,5.62,3.04,5.14,32735
nameless,2.79,2.8,4.58,72
nanny,5.86,4.05,5.42,531
nanometer,5.15,3.59,5.54,0
nap,6.53,4.14,5.91,645
napkin,5.63,3.09,5.21,184
nappy,3.1,3.32,4.24,40
narcissism,3.25,5.05,4.15,33
narcissist,3.11,5.81,4.04,26
narcissistic,3,5,4.94,32
narcotic,3.52,4.38,3.45,44
narrative,6.32,3.23,5.61,53
narrator,6.48,2.57,5.76,529
narrow,4.95,4.53,5.19,358
nasal,4.26,3.38,4.3,106
nasty,2.95,5.44,3.98,1151
nation,6,4.78,4.74,1045
national,5.62,3.45,6.63,1946
nationality,5.6,3.5,5.32,42
nationwide,5.2,3.72,5.45,68
native,5.85,3.05,6.05,421
natural,6.42,3.67,5.16,2160
natural gas,4.47,3.36,5.19,0
nature,6.88,4,5,2303
naughty,6.04,6.95,5.76,523
nausea,1.68,4.59,2.95,110
nauseating,2.73,4.33,3.68,30
nauseous,1.95,4.18,3.19,158
nautical,6.15,3.41,4.9,45
naval,5.19,2.86,5.15,292
navel,4.89,3.36,5.5,63
navigate,5.05,4.18,5.71,98
navigation,5.84,4,6.59,87
navigational,5.1,4,6.42,48
navigator,5.47,4.09,6.37,137
navy,5.38,3.64,5.07,1310
nearsighted,4.5,3.83,3.9,27
neat,6.95,4.1,5.64,635
nebula,7,4.05,4.26,75
necessary,5.39,3.38,4.89,2345
necessity,5.32,4.55,4.75,147
neck,5.44,3.65,5.17,3035
necklace,6.85,3.52,5.64,497
necktie,4.84,2.62,4.87,61
nectar,6.8,3.95,5.83,47
need,5.45,3.67,5.06,66040
needle,3.97,4.36,5.12,608
needlepoint,5.55,3.2,5.42,28
needless,4.25,2.95,4.16,116
needy,2.9,4.68,4.27,155
nefarious,3.79,5.72,4.25,38
negative,2.52,5.05,4.29,1308
negativity,2.74,5.09,3.42,33
neglect,2.16,4.72,3.69,86
negligee,6.2,4.67,5.64,37
negligence,2.7,4.22,3.79,91
negligent,2.05,4.45,4.57,51
negligible,3.81,3.89,4.67,20
negotiable,6,4.62,5.61,46
negotiate,5.57,5,5.84,342
negotiation,6.05,4.76,6.17,117
negotiator,5.1,4.45,5.6,67
negro,3.83,5.27,4.35,274
neighbor,5.6,3.72,5.12,864
neighborhood,6.09,4.05,6.95,1871
neighboring,5.95,3.95,4.91,38
nemesis,2.44,5.5,4.25,45
neon,6.48,4.56,5.62,146
nephew,6.75,4.33,5.94,846
nerd,5.18,4.46,5.91,168
nerdy,4.68,4.3,5.7,24
nerve,4.45,5.27,5.42,1171
nervous,3.56,5.51,4.02,3425
nervousness,3.1,4.45,3.93,30
nest,5.65,3.35,5.5,566
net,5,3,4.61,793
nether,4.81,4.05,4.92,20
network,5.05,4.43,5.39,843
networking,5.6,3.71,6.31,27
neurological,3.89,4.55,4.32,57
neurologist,5.05,3.86,5.22,51
neurology,4.95,4.55,4.62,23
neurosis,3.15,4.3,3.14,32
neurosurgeon,4.67,4.85,5.33,41
neurosurgery,4.25,5.09,3.74,39
neurotic,3.84,4.98,4.15,136
neuter,4.11,4.9,4.21,40
neutral,5.5,3.45,5.81,215
neutralize,5.19,3.36,5.45,62
neutron,6.62,4.47,4.78,63
new,7.68,5.14,5.22,36913
newborn,7.48,4.96,4.89,128
newcomer,5.8,5.05,4.58,55
newfound,5.89,3.45,6.17,60
newlywed,6.9,6.32,5.92,22
news,4.96,4.61,4.48,8399
newscast,5.43,4.74,4.8,27
newscaster,4.89,2.95,4.85,29
newsflash,5.26,4.64,4.52,32
newsletter,5.19,3.63,5.03,43
newsman,5.52,3.12,4.35,20
newspaper,5.11,2.67,5.05,1208
newspaperman,5.63,3,5,73
newsreel,5.47,4.86,5.57,38
newsroom,4.83,4.11,4.94,39
newsstand,5.79,3.22,5.05,53
newt,4.65,3.64,5.59,68
nexus,5.57,3.96,5.42,57
nibble,6.3,3.96,6.05,77
nice,6.95,3.53,6.47,33125
niche,5.75,3.43,5.18,47
nickel,5.62,4.22,5,431
nickname,6.14,4.38,5.7,346
nicotine,3.05,4.04,3.58,87
niece,6.52,3.95,5.36,486
nifty,6.3,4.59,6.41,71
nigger,1.67,6.81,2.96,1034
night,6.68,3.57,5.22,44168
nightcap,5.22,4,6.1,90
nightclub,5.32,5.08,5.57,237
nightfall,6.63,4,3.8,118
nightgown,5.85,3.35,5.67,100
nightie,7.11,4.57,5.53,35
nightlife,5.95,6.36,6.09,28
nightly,5.38,3.61,5.32,70
nightmare,1.79,5.83,3.21,1142
nightstand,5.62,4.04,5.68,43
nightstick,3.79,4.81,4.32,21
nighttime,6.18,3.91,4.78,105
nimble,6.25,4.5,5.41,30
nimrod,4.21,3.67,3.41,24
nincompoop,5,3.21,4.72,42
nine,5.1,3.83,5.21,3441
nineteen,5.63,3.86,5.09,169
ninety,4.65,3.28,5.36,142
ninja,5.14,5.61,5.23,131
nintendo,6.8,6.37,6.23,0
nip,5.25,4.39,4.68,165
nipple,5.73,5.88,5.64,144
nippy,4.79,5.45,5.14,48
nitrate,5,4,5.12,55
nitrogen,4.6,5.2,4.82,61
nitrous,5.1,5.25,5.35,35
nitwit,3.75,3.96,3.54,62
nix,4,3.89,3.9,83
nobility,5.83,4.57,4.89,84
noble,7.16,4.14,6.71,744
nobleman,6.86,4,5.36,37
nocturnal,5.29,3.48,5.61,62
nod,5.05,2.92,6.1,203
node,4.84,3.5,5.62,25
noggin,5.63,4.29,5.74,34
noir,5.37,3.59,5.32,41
noise,3.36,5.75,5.47,1779
noisy,3.21,5.15,4.42,257
nomad,4.71,3.17,5.3,27
nominal,5.1,3.55,4.61,38
nominate,5.86,3.48,6.05,46
nomination,5.63,4.04,6,122
nominee,5.5,4.4,5.75,40
nonchalant,4.58,3.64,5.84,19
nonexistent,3.89,3.81,3.83,43
nonfat,5.74,3.57,6,25
nonfiction,5.95,3.85,5.47,20
nonsense,4,4.52,4.74,1452
nonviolent,6.84,3.95,5.17,32
noodle,6.48,3.09,5.48,148
nook,6.33,2.8,5.47,54
noon,5.38,2.87,6.22,924
noose,2.43,5.38,3.99,111
norm,5.56,3.06,5.06,170
normal,6.17,2.29,6.39,3589
normalcy,4.84,3.15,6.65,20
north,5.72,2.15,5,3258
northbound,5.45,4.8,5.73,32
northeast,5.5,3.65,5.9,164
northern,5.65,3.17,5.08,362
northwest,5.81,2.71,4.9,204
northwestern,5.39,3.05,5.13,82
nose,5.5,3.1,4.61,3557
nosebleed,3.16,5.27,3.5,41
nostalgia,6.65,4.38,5.36,39
nostalgic,6.68,4.37,5.05,51
nostril,3.58,3.43,4.58,35
nosy,3.1,4.65,5.04,144
notable,5.95,3.45,6.23,31
notary,5.43,3.23,5.5,35
notch,5.32,2.95,4.8,170
note,5.78,3.33,5.28,2731
notebook,6.05,3.58,6.12,235
nothingness,2.79,3.25,3.2,43
notice,5.94,3.38,5.11,3022
noticeable,5.86,4.25,5.75,45
notification,5.24,4.5,5.09,31
notify,4.9,3.13,5.67,367
notion,5.86,4.25,5.42,336
notoriety,5.68,5.23,5.77,23
notorious,4.19,4.68,5.23,189
noun,5.22,2.37,5.28,27
nourish,7.5,3.85,7.06,22
nourishment,7.44,3.1,6,62
novel,5.74,3.41,5.09,513
novelist,6.1,3.95,6.29,61
novelty,5.82,5.04,5.47,85
novice,5.1,4,5.6,41
nuance,5.47,4.55,4.58,21
nuclear,4.3,7.3,4.12,968
nucleus,5.59,3.65,4.32,45
nude,6.1,5.86,6.05,301
nudge,5.67,4.33,4.95,57
nudist,6,6.05,5.05,33
nudity,6.48,6.15,5.28,89
nugget,6.29,3.32,4.93,60
nuisance,3,4.7,3.79,164
nuke,3.67,5,3.29,121
null,4.32,3.05,4.48,27
numb,3.79,2.5,4.04,249
number,5.59,3.5,6.13,12288
numbskull,3.65,4,4.28,20
numerical,5,2.76,5.43,20
numerous,5.35,3.39,6.25,183
nun,5.79,2.43,4.53,355
nunnery,4.25,2.78,4.77,23
nuptials,5.63,4.55,5.71,30
nurse,5.41,4.64,5.58,2294
nursemaid,5.38,3.83,5.17,28
nursery,6.1,4.29,4.89,207
nursing,6.39,3.57,5.05,323
nurture,7.14,4.12,6.29,37
nut,5.44,4.24,4.56,797
nutcase,2.81,3.76,3.36,67
nutcracker,5.45,4.84,6.05,36
nuthouse,3.4,4.33,3.45,46
nutmeg,5.76,3.24,6.04,36
nutrition,6.86,4.48,6.46,48
nutritional,6.83,3.4,5.68,20
nutritious,7.09,4.38,7.32,45
nutshell,5.05,3.95,5.73,48
nutty,5.35,4.72,5.29,182
nylon,4.9,3.61,5.19,69
nymph,5.42,5.32,4.5,38
nymphomaniac,4.95,5.17,4.54,27
oaf,3.5,2.95,4.04,50
oak,6.47,2.64,5.91,286
oar,5.15,2.72,6.38,42
oasis,8,4.95,5.73,98
oat,5.67,2.82,5.32,27
oath,6.4,4,6.47,504
oatmeal,5.47,3.1,5.65,169
obedience,4.63,3.29,4.06,87
obedient,6.05,2.82,4.74,100
obese,2.32,3.95,4.22,25
obesity,2.81,4.63,4.55,21
obey,5.13,4.1,4.43,456
obituary,3.1,5.04,3.43,68
object,5.52,4.08,5.91,1314
objection,3.83,4.48,4.22,1108
objective,5.55,4.38,6.47,359
objectivity,5.63,4.09,7.04,38
obligation,4.68,5.76,5.39,344
obligatory,3.94,3.6,3.88,21
oblige,5.19,3.74,5.11,113
oblique,4.57,3.18,5.6,23
oblivion,3.95,4.38,4.92,101
oblivious,4.5,3.5,3.81,54
obnoxious,2.76,5.95,4.1,179
obscene,3.1,5.24,4.64,176
obscenity,3.41,6.11,4.43,53
obscure,5.15,3.1,4.48,132
obscurity,4.64,3.28,3.88,27
observant,6.37,4.05,6.04,62
observation,5.61,3.23,6.04,380
observatory,5.36,4.61,5.95,51
observe,5.3,4.25,5.92,499
observer,5,4.5,6.08,188
obsess,3.23,4.95,4.1,31
obsessed,4.86,4.46,5.76,526
obsession,4.38,5.64,4.15,289
obsessive,3.35,6.14,4,90
obsolete,3.53,3.27,3.61,98
obstacle,4.38,4.6,4.11,132
obstinate,3.81,4.43,4.9,46
obstruct,3.61,4.29,4.7,30
obstruction,3.75,3.68,3.48,122
obtain,5.11,3.67,6.7,190
obvious,5.33,3.65,6.47,1508
occasion,6.45,4.79,5.52,844
occasional,5.5,2.45,4.72,199
occult,3.5,4.63,4.64,80
occupant,5.19,3.17,5.24,41
occupation,4.77,4.33,5.47,210
occupational,6.18,4.32,5.8,76
occupy,4.86,4.27,5.29,126
occur,6.26,3.57,4.46,379
occurrence,4.94,4.1,4.7,60
ocean,7.39,3.5,5.88,1545
oceanic,7.45,4.26,5.57,31
octopus,6,5.1,5.76,99
ocular,4.86,4,5.42,21
odd,4.56,4.26,5.42,1226
oddball,6.17,3.55,4.11,34
odds,5.32,4.39,5.32,970
ode,5.75,2.81,4.48,41
odor,3,5.05,4.12,119
odyssey,5.7,4.83,6.57,45
offence,3.4,4.29,4.79,273
offend,3.29,4.81,4.17,266
offender,3.25,4.52,3.86,140
offense,4.05,4.67,4.4,840
offensive,3.8,4.95,5.17,327
offer,5.67,3.5,5.44,3810
office,4.54,3.05,5.16,10399
officer,4.91,4.38,4.41,5265
official,5.75,4.04,5.45,1224
offset,4.79,4.05,4.75,29
offshore,4.95,3.5,4.13,115
offspring,5.89,4.65,6.35,130
ogre,3.57,5.19,4.32,71
oil,3.91,4.25,5.63,2095
oily,4.14,4.53,4.62,49
oink,5.21,3.73,4.62,55
ointment,4.81,2.86,5,83
okra,5.55,3.27,6.24,26
old,3.19,4.48,4.22,31056
oldie,5.41,3.78,5.63,23
olive,6.05,3.92,5.18,375
omega,5.5,4.65,5.36,76
omelet,6.25,3.89,6.35,121
omen,3.77,4.52,3.59,87
ominous,3.95,5.57,4.48,68
omission,4.71,2.82,4.81,20
onboard,5.1,3.95,6.78,241
oncologist,3.45,3.71,4.48,44
oncology,3.32,5.8,4.27,31
oncoming,4.68,4.06,4.35,22
one,6.09,2.67,5.56,156684
oneness,6.4,3.19,4.8,21
ongoing,4.79,4.24,5.08,111
onion,5.37,4.95,4.78,216
onset,4.35,4.39,4.62,43
onstage,5.48,4.48,4.94,104
oomph,5.52,4.27,5.07,33
ooze,3.57,5,3.44,27
opal,6,3.14,5.26,52
open,6.14,4.43,6.17,16341
opener,6,3,5.67,173
opening,5.95,4.6,6.68,1960
openness,6.52,4.37,5.86,20
opera,5.68,3.84,6.25,873
operate,5.37,4.62,5.78,682
operation,2.94,5.71,3.78,2241
operational,5.6,4.32,5.81,195
operative,5.9,4.36,6.05,166
operator,4.85,2.67,4.74,836
opiate,5.35,5.06,5.12,20
opinion,6.38,4.53,6.28,2142
opinionated,5.57,3.95,5.54,27
opium,3.42,3.65,4.68,114
opponent,4.42,5.5,5.8,240
opportunity,7.1,5.5,7.11,2091
oppose,4.21,5.17,5.74,110
opposing,3.85,4.25,4.27,137
opposite,4.77,3.43,4.95,775
opposition,3.21,4.5,4,155
oppressed,3.1,5.05,3.81,65
oppression,2.67,4.57,2.94,76
oppressive,3.05,6.24,3.43,47
oppressor,2.81,5.48,3,26
opt,4.85,2.44,6.32,20
optic,5.6,3.48,5.32,52
optical,5.15,3.44,5.12,56
optics,6.37,3.05,5.32,36
optimism,7.21,4.95,6.9,79
optimist,7.19,4.43,6.78,78
optimistic,7.45,4.19,7,173
optimum,7.38,5.21,5.55,33
option,6.37,3.19,6.36,736
optional,5.76,2.59,7.11,58
oracle,6.16,3.62,4.07,114
oral,4.95,4.33,4.56,220
orange,6.81,4.04,5.58,1138
orange juice,6.62,3.95,5.91,0
orangutan,5.74,4.87,4,29
orb,5,4.26,5.48,140
orbit,5.95,4.26,5.06,288
orbital,5.5,4.24,5.48,64
orchard,6.15,3.86,5.5,98
orchestra,6.5,4.07,5.76,281
orchid,7,4.11,5.58,110
ordeal,3.84,5.14,4.65,121
order,5.82,3.19,6.56,7985
orderly,6.36,5.05,6.38,223
ordinance,4.75,3.95,4.67,86
ordinary,5.05,2.86,5.89,973
ordnance,4.52,2.84,5.09,47
ore,5.78,2.85,4.92,84
oregano,6.11,3.7,5.16,42
organ,4.95,3.41,5.55,370
organic,5.55,4.29,6.17,220
organism,6,3.48,5.22,104
organist,5.67,2.25,5.2,20
organization,5.71,3.09,5.96,668
organize,6.75,4.05,6.95,220
organizer,6.35,3.17,6.96,22
orgasm,8.01,7.19,5.84,213
orgy,5.37,7.3,5.26,87
oriental,6.26,3.18,5.45,133
orientation,6,3.38,5.58,124
orifice,4.48,3.17,4.45,30
origami,5.95,2.87,6.17,39
origin,5.19,3.7,5.29,227
original,7.5,4.4,7.16,1440
originality,6.94,5,6.3,30
ornament,6.63,3.32,5.39,58
ornery,3.85,4.19,5.19,60
orphan,2.9,3.24,3.48,293
orphanage,2.95,3.12,4,273
orphaned,2.55,4.6,2.91,20
orthodontist,4.38,4.9,4.22,25
orthodox,3.95,3.14,4.75,53
orthopedic,4.32,3.78,4.63,26
ostentatious,5.05,5.25,4.4,25
ostrich,5.16,3.87,4.11,48
other,5.41,3.48,6,37505
otter,6.95,4.42,5.19,69
ought,5,3,4.39,4118
ounce,5.65,3.77,5.26,206
outage,3.86,3.92,3,21
outback,5.3,3.72,4.55,47
outbid,4.86,5.15,5.22,21
outboard,5.15,3.43,5.25,28
outbreak,2.47,5.38,3.4,99
outburst,4.15,6.33,4.25,74
outcast,2.86,5.17,3.81,67
outcome,5.62,3.68,6.37,201
outdated,3.63,3.76,4,41
outdo,4.95,5.43,6.9,26
outdoor,7.33,3.55,5.2,93
outdoors,6.91,3.94,6.2,107
outer,5.19,3.27,5.19,463
outfit,6.05,4.19,6.64,1280
outgoing,6.89,5.71,5.65,90
outgrow,4.4,3.78,5.18,21
outhouse,4.19,3.43,4.59,38
outing,6.09,5.52,6.16,51
outlaw,4.1,6,4.1,149
outlet,5.45,3.5,6.31,102
outline,5.1,2.62,5.8,104
outlive,5.52,4.39,5.15,57
outlook,6.15,3.43,6.12,103
outnumber,3.86,4.45,4.56,39
outpatient,4.14,3.35,5.6,31
outpost,4.67,3.05,6.06,67
output,4.85,3.67,6.21,71
outrage,2.97,6.52,4.8,160
outraged,3.21,5.65,4.47,66
outrageous,4.19,5.35,4.56,323
outrank,4.4,4.14,5.73,30
outreach,4.94,3.95,5.74,24
outrun,6.26,5.62,5,99
outsider,4.3,3.52,5.17,121
outskirts,5,3.75,4.88,38
outsmart,5.8,5.3,7.38,39
outspoken,6.16,5.36,6.14,25
outstanding,7.1,4.04,6.86,380
outstretched,5.19,4.14,4.8,20
outweigh,4.19,3.95,5.33,24
outwit,5.3,4.04,6.89,30
oval,5.14,3.5,5.54,69
ovary,5.23,3.67,5.14,26
ovation,5.21,5.32,7.05,45
oven,6.16,2.95,6.04,453
overactive,5.19,5.12,4.27,20
overall,5.17,2.95,4.81,164
overbearing,3.65,5.1,4.26,49
overcast,4.35,3.83,4.19,24
overcoat,5.43,3.1,5.77,74
overcome,6.81,5.75,6.32,316
overcrowded,2.55,5.39,3.15,23
overdo,3.61,4.6,4.88,82
overdose,2.67,4.92,3.16,136
overdrive,5.43,5.16,5.53,29
overdue,3.39,4.62,4.37,148
overestimate,5.33,3.52,4.41,23
overflow,4.76,4.25,4.32,49
overgrown,3.29,4.29,4.86,49
overhaul,5.23,3.92,6.21,24
overhear,3.89,4.27,5.21,53
overheated,3.63,5.43,3.87,23
overjoyed,7.17,5.57,6.78,37
overkill,3.35,6,4.69,29
overlap,3.95,2.83,5.61,29
overlapping,4.9,3.5,4.92,46
overlay,4.58,3.18,4.54,31
overload,3.64,4.96,4.79,91
overlook,4.3,3.78,5.1,148
overlord,3.73,4.78,4.42,21
overpass,4.77,4,5.32,25
overpower,4.14,4.96,5.58,30
overpriced,3.05,4.55,3.93,43
overprotective,3.16,4.37,4.85,31
overrated,3.65,5.4,4.81,135
overreact,3.59,5.23,4.48,73
override,4.33,3.35,6,263
overriding,4.38,4.65,5.11,20
overrun,3.14,4.56,3.38,85
oversee,5.68,3.65,5.42,68
overseer,4.71,5.3,5.11,21
oversight,3.6,4.45,5.32,74
oversized,4.4,3.65,4.44,47
overtake,3.95,4.36,5.39,37
overthrow,3.71,4.78,5.39,69
overtime,4.8,5.71,5.47,318
overture,5.33,4.29,5.77,66
overview,4.85,3.18,5.38,22
overweight,3.14,3.91,3.57,93
overwhelm,3.3,4.36,4.24,35
overwhelmed,2.8,4.9,2.7,201
overwhelming,3.89,4.86,2.61,251
overworked,1.9,4.42,4.36,50
overwrought,3.52,4.56,4.11,35
overzealous,5.16,5.9,5.19,29
owe,3.56,4.67,3.17,3782
owl,6.3,3.57,5.02,286
owner,6.38,4.71,6.59,1185
ownership,5.85,4.41,7.53,116
ox,4.95,3.82,5.81,397
oxide,5.53,2.91,4.39,61
oxygen,7.25,4.9,5.69,708
oyster,4.81,3.11,5.18,156
ozone,5.05,4.17,5.25,109
pace,5,3,6.11,488
